+ 1616814366.857332900 /scripts/functions/utility : __rvm_find_first_file()  273 > for __file_enum in "$@"
+ 1616814366.865683000 /scripts/functions/utility : __rvm_find_first_file()  9 > [[ -f . ]]
+ 1616814366.875515800 /scripts/functions/utility : __rvm_find_first_file()  273 > for __file_enum in "$@"
+ 1616814366.885648900 /scripts/functions/utility : __rvm_find_first_file()  9 > [[ -f ./.rvmrc ]]
+ 1616814366.896912400 /scripts/functions/utility : __rvm_find_first_file()  273 > for __file_enum in "$@"
+ 1616814366.903809200 /scripts/functions/utility : __rvm_find_first_file()  9 > [[ -f ./.versions.conf ]]
+ 1616814366.911138400 /scripts/functions/utility : __rvm_find_first_file()  273 > for __file_enum in "$@"
+ 1616814366.918459800 /scripts/functions/utility : __rvm_find_first_file()  9 > [[ -f ./.ruby-version ]]
+ 1616814366.926521600 /scripts/functions/utility : __rvm_find_first_file()  11 > eval '_found_file="$__file_enum"'
++ 1616814366.936515500 /scripts/functions/utility : __rvm_find_first_file()  0 > _found_file=./.ruby-version
+ 1616814366.945652100 /scripts/functions/utility : __rvm_find_first_file()  12 > return 0
+ 1616814366.955519200 /scripts/functions/rvmrc_project : __rvm_project_dir_check()  17 > [[ ! -s ./.ruby-version ]]
+ 1616814366.965070000 /scripts/functions/rvmrc_project : __rvm_project_dir_check()  17 > [[ ./.ruby-version == \/\h\o\m\e\/\j\e\r\e\m\y\/\.\r\v\m\r\c ]]
+ 1616814366.975062200 /scripts/functions/rvmrc_project : __rvm_project_dir_check()  21 > [[ .ruby-version == \G\e\m\f\i\l\e ]]
+ 1616814366.982285400 /scripts/functions/rvmrc_project : __rvm_project_dir_check()  28 > [[ -n rvmrc_path ]]
+ 1616814366.996200200 /scripts/functions/rvmrc_project : __rvm_project_dir_check()  29 > eval 'rvmrc_path="${_found_file:-./.rvmrc}"'
++ 1616814367.007426200 /scripts/functions/rvmrc_project : __rvm_project_dir_check()  0 > rvmrc_path=./.ruby-version
+ 1616814367.018475000 /scripts/functions/rvmrc_project : __rvm_project_dir_check()  33 > [[ -n ./.ruby-version ]]
+ 1616814367.035826400 /scripts/functions/rvmrc_project : __rvm_project_dir_check()  35 > RVM_PROJECT_PATH=./.ruby-version
+ 1616814367.044647100 /scripts/functions/rvmrc_project : __rvm_project_dir_check()  36 > RVM_PROJECT_PATH=.
+ 1616814367.054016100 /scripts/functions/rvmrc : __rvm_rvmrc_tools()  42 > rvmrc_path=./.ruby-version
+ 1616814367.062113800 /scripts/functions/rvmrc : __rvm_rvmrc_tools()  43 > rvmrc_path=./.ruby-version
+ 1616814367.069668000 /scripts/functions/rvmrc : __rvm_rvmrc_tools()  58 > case "$rvmrc_action" in
+ 1616814367.078108600 /scripts/functions/rvmrc : __rvm_rvmrc_tools()  98 > __rvm_rvmrc_tools_try_to_read_ruby .
+ 1616814367.087785400 /scripts/functions/rvmrc : __rvm_rvmrc_tools_try_to_read_ruby()  125 > case "$rvmrc_path" in
+ 1616814367.095089900 /scripts/functions/rvmrc : __rvm_rvmrc_tools_try_to_read_ruby()  22 > __rvm_rvmrc_tools_read_ruby .
+ 1616814367.103841700 /scripts/functions/rvmrc : __rvm_rvmrc_tools_read_ruby()  1 > typeset __result
+ 1616814367.111124700 /scripts/functions/rvmrc : __rvm_rvmrc_tools_read_ruby()  2 > typeset -a rvmrc_tools_read_ruby
+ 1616814367.118938000 /scripts/functions/rvmrc : __rvm_rvmrc_tools_read_ruby()  3 > rvmrc_tools_read_ruby=()
+ 1616814367.127260300 /scripts/functions/rvmrc : __rvm_rvmrc_tools_read_ruby()  4 > __rvm_save_variables rvmrc_tools_read_ruby rvm_current_rvmrc result current_result rvm_token next_token rvm_action _string
+ 1616814367.134693900 /scripts/functions/rvmrc : __rvm_save_variables()  1 > typeset __save_to __key
+ 1616814367.140756900 /scripts/functions/rvmrc : __rvm_save_variables()  2 > __save_to=rvmrc_tools_read_ruby
